FIPS,Cancer_Incidence,Population_Size,Population_Density,Poverty,White,Black,Hispanic,Native_American,Asian,No_Exercise,Few_Fruit_Veg,Obesity,High_Blood_Pres,Smoker,Diabetes,Uninsured,Prim_Care_Phys_Rate,Dentist_Rate,Unemployed,Major_Depression,Recent_Drug_Use,Ecol_Rpt,Salm_Rpt,Shig_Rpt,Toxic_Chem,Sulfur_Dioxide_Ind,Ozone_Ind,Particulate_Matter_Ind,Lead_Ind
12125,1195.2,14916,62,18,74.8,23.5,4,0.6,0.4,-1111.1,-1111.1,21.2,-1111.1,-1111.1,4.4,1486,60.3,13.4,204,843,816,1,33,31,264,1,1,1,1
21197,693,13687,76,20.9,99.1,0.7,0.7,0,0,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,2169,29.2,29.2,445,897,753,0,11,0,100976,1,1,1,1
35021,681.5,740,0,13.1,97.7,0.4,43,1.8,0,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,170,0,0,15,53,46,0,1,1,-2222,1,1,1,1
31113,669.3,740,1,10,98.8,0.1,0.9,1.1,0,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,118,0,0,11,46,28,0,1,0,-2222,1,1,1,1
31171,657.7,623,1,11.8,99.5,0,1.1,0.5,0,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,141,0,0,16,41,22,0,0,0,-2222,1,1,1,1
38083,640.9,1430,1,15.8,99.3,0.1,0.3,0.5,0,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,302,0,0,45,89,41,0,1,0,0,1,1,1,1
46077,637.3,5532,7,9.4,98.6,0,0.7,0.5,0.6,37.5,82.2,30.3,34.4,17.3,7.4,583,72.3,36.2,122,322,193,5,12,1,-2222,1,1,1,1
21023,615.6,8670,43,11.7,98.9,0.6,0.5,0.3,0.1,39.8,77.6,25.1,28.2,40.4,8.1,1013,34.6,34.6,286,570,484,1,15,2,-2222,1,1,1,1
21065,612.3,15089,59,21.1,99.2,0.2,0.7,0.2,0.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,13.6,2367,19.9,19.9,456,995,816,0,14,1,-2222,1,1,1,1
51620,604.3,8594,1029,17.3,43.2,55.7,1.1,0.2,0.8,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,10.9,1319,197.8,69.8,192,475,406,0,21,5,-2222,1,1,1,1
28161,602.5,13417,29,19,60.2,39.2,1,0.2,0.2,36.1,82.6,24.5,-1111.1,25.5,10,2234,14.9,29.8,494,788,598,0,35,7,15281,1,1,1,1
21147,600.4,17233,40,27.3,98,0.8,0.7,0.4,0.1,49.4,80.7,34.3,-1111.1,46.2,10.4,4087,23.2,17.4,547,1100,992,0,7,0,-2222,1,1,1,1
22025,599.2,10447,15,22.4,71.8,27.6,1,0.2,0.2,-1111.1,-1111.1,31.5,-1111.1,25.1,12.7,2166,38.3,19.1,353,565,567,0,21,1,-2222,1,1,1,1
46055,595.8,1912,1,11.7,96.8,0,0.8,2.9,0.1,30.9,82.6,20.3,31.9,13,11.3,365,156.9,52.3,44,113,66,1,10,0,-2222,1,1,1,1
38027,595.5,2626,4,9.5,95.8,0.1,1,3.7,0.2,-1111.1,86.4,19.7,-1111.1,22.4,6.5,209,38.1,38.1,75,156,79,2,1,1,-2222,1,1,1,1
51159,584.5,9114,48,15.5,66.1,33.1,2.8,0,0.6,-1111.1,-1111.1,26,26.5,14.8,10.5,961,0,21.9,174,565,432,0,12,6,1067,1,1,1,1
55125,581.5,22330,26,8,89.8,0.3,1,9,0.5,27.1,78.1,24.7,-1111.1,23.7,7.3,2311,53.7,31.3,681,1547,1129,1,25,7,38978,1,1,1,1
46111,580.9,2541,4,12.1,98.8,0,1.3,0.6,0.4,32.1,-1111.1,26.2,-1111.1,19.3,3.9,391,0,0,57,146,89,4,4,1,0,1,1,1,1
46053,580.5,4290,4,16.5,92.8,0.1,1,6.7,0.3,31.7,81.6,26.3,31.5,17.2,8.5,931,93.2,23.3,99,252,147,0,3,4,-2222,1,1,1,1
51730,577.1,32604,1425,18.5,19.7,78.6,2,0.1,0.9,31.8,80.2,37.4,31.6,26,9.7,5890,92,76.7,1050,1792,1479,2,37,29,164043,1,1,1,1
21193,575.4,29452,86,23.3,97.4,1.6,0.6,0,0.7,41,79.7,32.6,34.6,33.8,10.7,5146,129,37.3,855,1931,1595,0,9,0,1555,1,1,1,1
51678,575.3,6776,2721,16.1,87.5,9.4,1.8,0.3,2.4,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,319,324.7,132.8,102,407,573,0,0,0,-2222,1,1,1,1
21051,573.4,24146,51,30.3,94.3,5,1.4,0.2,0.1,45.8,83.2,30.8,-1111.1,37,11.6,5021,33.1,24.8,657,1588,1371,0,9,0,-2222,1,1,1,1
54015,571.6,10356,30,22.5,98.5,0.1,0.4,0.7,0,-1111.1,90.4,28.2,-1111.1,28.1,9.2,1904,19.3,9.7,270,752,433,0,10,1,-2222,1,1,1,1
21223,570.7,9023,61,12.7,98.8,0.3,1.4,0.4,0.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,1155,11.1,0,275,589,505,0,3,0,1994626,1,1,1,1
21161,570.7,17140,71,15.9,91.6,7,1.1,0.1,0.5,37.5,79.4,21.1,31.6,30.1,7.6,2345,81.7,58.3,562,1136,923,1,16,8,6171962,1,1,1,1
30103,570.6,689,1,12.5,97.4,0.1,1.9,1.9,0.4,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,143,0,0,17,51,37,0,0,0,-2222,1,1,1,1
22047,569.2,32386,52,20.4,49.5,49.8,1.3,0.2,0.3,42.4,83.6,30,-1111.1,22.1,7.4,5163,58.7,24.7,1162,1723,1781,0,17,9,3465173,1,2,1,1
05147,568.7,8098,14,23,70.4,28.7,0.9,0.2,0.2,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,1711,49.4,24.7,309,518,438,1,17,2,129631,1,1,1,1
21043,568.6,27306,67,20.4,98.9,0.2,0.6,0.3,0.2,37.7,87.4,31,30.9,35.5,9,4505,29.3,29.3,1161,1793,1555,1,12,2,117981,1,1,1,1
30059,567.7,1999,1,17.2,98.5,0,1.4,1.1,0.2,-1111.1,-1111.1,-1111.1,-1111.1,18.4,7.2,491,150.1,50,41,147,99,0,4,0,-2222,1,1,1,1
