FIPS,Cancer_Incidence,Population_Size,Population_Density,Poverty,White,Black,Hispanic,Native_American,Asian,No_Exercise,Few_Fruit_Veg,Obesity,High_Blood_Pres,Smoker,Diabetes,Uninsured,Prim_Care_Phys_Rate,Dentist_Rate,Unemployed,Major_Depression,Recent_Drug_Use,Ecol_Rpt,Salm_Rpt,Shig_Rpt,Toxic_Chem,Sulfur_Dioxide_Ind,Ozone_Ind,Particulate_Matter_Ind,Lead_Ind,a_ccl4,a_cl_ln,a_cn_ln,a_diesel_ln,a_eox_ln,a_pb_ln,a_pm10_mean_ln,a_pm25_mean,a_so2_mean_ln,a_no2_mean_ln,a_co_mean_ln,a_o3_mean_ln,a_teca_ln,w_112tca_ln,a_dbcp_ln,a_tdi_ln,a_2clacephen_ln,a_2np_ln,a_pnp_ln,a_ch3cn_ln,a_acetophenone_ln,a_acrolein_ln,a_acrylic_acid_ln,a_c3h3n_ln,a_sb_ln,a_benzidine_ln,a_benzyl_cl_ln,a_be_ln,a_biphenyl_ln,a_dehp_ln,a_bromoform_ln,a_cd_ln,a_cs2_ln,a_cs_ln,a_c6h5cl_ln,a_chloroform_ln,a_chloroprene_ln,a_cr_ln,a_cresol_ln,a_cumene_ln,a_dbp_ln,a_dmf_ln,a_me2_phthalate_ln,a_me2so4_ln,a_ech_ln,a_etacrylate_ln,a_etcl_ln,a_edb_ln,a_edc_ln,a_egly_ln,a_edcl2_ln,a_glycol_ethers_ln,a_hcb_ln,a_hcbd_ln,a_hccpd_ln,a_hexane_ln,a_n2h2_ln,a_hcl_ln,a_isophorone_ln,a_mn_ln,a_hg_ln,a_meoh_ln,a_mibk_ln,a_mma_ln,a_mecl_ln,a_mehydrazine_ln,a_mtbe_ln,a_nitrobenzene_ln,a_dma_ln,a_otoluidine_ln,a_pahpom_ln,a_pcp_ln,a_ph3_ln,a_p_ln,a_pcbs_ln,a_procl2_ln,a_proo_ln,a_quinoline_ln,a_se_ln,a_cl4c2_ln,a_toluene_ln,a_c2hcl3_ln,a_etn_ln,a_vyac_ln,a_vycl_ln,a_11dce_ln
12125,224.2,14916,62,18,74.8,23.5,4,0.6,0.4,-1111.1,-1111.1,21.2,-1111.1,-1111.1,4.4,1486,60.3,13.4,204,843,816,1,33,31,264,1,1,1,1,0.4967092,-15.39159,-4.600332,-1.571027,-7.098519,-7.312373,14.73053,9.777521,4.02485,5.817931,4.922658,8.261312,-5.938351,-6.907755,-12.67088,-6.943316,-17.54753,-18.35702,-12.48869,-11.27356,-13.15009,-1.849597,-19.16533,-6.772398,-13.6581,-18.48789,-13.17526,-10.86807,-11.73033,-0.2170338,-15.82987,-9.668644,-8.695921,-9.325008,-10.59929,-2.64306,-14.05609,-9.194243,-6.154106,-8.469082,-11.83136,-9.7874,-13.04858,-15.35778,-15.60069,-16.60398,-8.851058,-8.528522,-6.044751,-4.775742,-10.61922,-6.018896,-14.45316,-17.40485,-17.62814,-2.731294,-15.42567,-3.830492,-13.13041,-7.389504,-7.190337,-2.062713,-3.498673,-8.129576,0.2365,-13.71746,-3.686581,-15.2436,-11.52709,-17.91264,-3.932497,-14.61365,-10.10029,-13.59226,-8.442105,-7.554392,-10.3195,-14.00023,-11.71923,-3.421051,-0.7516473,-4.285222,-11.71687,-11.00131,-9.109966,-10.99339
21189,169.9,4746,24,31.9,99.5,0.1,0.7,0.1,0.1,33,93.4,25.5,-1111.1,-1111.1,10.4,1205,42.1,21.1,128,318,267,0,1,0,-2222,1,1,1,1,0.4967088,-13.08511,-4.590704,-1.688675,-6.231925,-7.648475,13.95935,12.75038,5.348275,6.493377,6.42104,8.54347,-5.951097,-0.6911492,-13.5252,-9.662697,-31.70556,-18.58957,-13.84696,-11.4407,-11.81648,-4.156493,-19.98392,-5.568809,-15.32353,-18.48789,-15.20865,-10.89631,-11.66422,-0.2167336,-22.28806,-10.20438,-8.952771,-14.16423,-10.82681,-2.664491,-14.23469,-9.678511,-7.023677,-9.416378,-13.53608,-8.722789,-14.53208,-17.05697,-13.07421,-16.78987,-8.034106,-7.472552,-6.18193,-5.873616,-13.53316,-7.143924,-15.07562,-17.6448,-17.86794,-3.870498,-11.80719,-4.842441,-11.80173,-7.523451,-7.193612,-3.587975,-5.634474,-10.9718,0.2227159,-13.91557,-3.719415,-15.47593,-11.74719,-17.75922,-5.426736,-14.23726,-11.0418,-11.99675,-8.399961,-7.033828,-9.436521,-10.47537,-12.03012,-3.445081,-1.578512,-2.63241,-12.46635,-11.59115,-12.06038,-11.30101
21147,163.2,17233,40,27.3,98,0.8,0.7,0.4,0.1,49.4,80.7,34.3,-1111.1,46.2,10.4,4087,23.2,17.4,547,1100,992,0,7,0,-2222,1,1,1,1,0.4967167,-9.08125,-4.421734,-1.370699,-6.143821,-7.52243,13.97793,12.7057,5.803274,6.606308,6.584219,8.928133,-5.946195,-0.6911492,-13.54595,-9.505803,-13.95238,-18.41881,-12.20198,-11.30786,-11.79048,-4.080568,-16.48505,-5.289565,-11.30102,-14.18949,-12.51734,-10.76627,-10.67474,-0.2164247,-14.02857,-10.12513,-7.84411,-10.87991,-9.915089,-2.65661,-13.98147,-9.579124,-7.060747,-9.013663,-9.87832,-8.421243,-13.42843,-14.7487,-15.61935,-14.42808,-7.78397,-7.580404,-5.818835,-5.175956,-12.15556,-6.167489,-14.93431,-17.476,-16.87305,-3.282056,-14.23615,-3.795214,-10.62396,-7.281827,-7.189292,-3.294171,-4.977612,-6.483463,0.2229167,-13.18433,-3.373171,-15.3055,-11.56664,-14.82687,-5.309536,-13.94394,-16.16043,-15.71807,-8.37664,-7.030922,-9.4004,-11.57954,-10.82342,-2.961727,-1.156562,-2.521771,-9.805202,-7.898752,-9.642802,-11.09232
21197,153.9,13687,76,20.9,99.1,0.7,0.7,0,0,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,2169,29.2,29.2,445,897,753,0,11,0,100976,1,1,1,1,0.4967191,-11.41517,-4.57508,-1.471612,-6.273288,-7.254207,12.97162,11.95858,4.933951,6.469466,6.363685,8.509827,-5.929442,-0.6911492,-13.5666,-9.61161,-17.01814,-18.34631,-12.52833,-10.17957,-11.04671,-4.278116,-10.49564,-5.443745,-13.24144,-18.48789,-12.71044,-10.77094,-11.39779,-0.2167711,-15.29189,-10.13884,-6.182767,-12.53775,-10.53525,-2.653413,-13.98523,-9.427947,-4.446926,-8.784386,-12.64202,-8.527864,-13.94741,-14.92903,-12.55151,-16.22856,-7.834394,-7.368628,-5.997358,-5.052875,-10.51709,-5.97092,-15.20125,-17.40654,-17.62973,-3.120394,-11.08539,-3.728033,-10.47221,-7.485742,-7.190428,-3.235427,-3.876385,-9.119236,0.2231286,-14.55192,-3.112294,-15.23222,-11.47727,-17.46199,-5.499229,-14.3358,-10.42591,-10.79131,-8.420089,-6.919863,-9.215982,-10.0926,-10.96441,-3.351501,-1.20253,-2.492259,-10.63945,-11.29617,-8.954442,-10.93172
21131,147.6,11994,30,25.6,99.5,0.1,0.6,0,0.2,42.3,82.5,33.4,-1111.1,36.2,10.2,2236,41.7,25,317,804,664,0,4,0,-2222,1,1,1,1,0.496711,-15.4794,-4.616294,-1.622399,-6.116392,-7.649929,17.41637,12.79682,5.611041,6.665796,6.579919,8.638107,-5.95304,-1.208985,-13.46703,-10.28968,-31.70556,-18.55467,-12.9449,-11.41383,-13.59897,-4.118069,-16.60567,-5.66328,-15.78559,-18.48789,-15.15868,-10.87704,-11.5671,-0.2166617,-27.31621,-10.18322,-8.910262,-14.71961,-10.82321,-2.662489,-14.13167,-9.636034,-6.914392,-9.277277,-13.22423,-8.893251,-14.57113,-17.01544,-15.79795,-16.554,-8.040915,-7.541105,-6.192921,-5.687788,-13.87472,-3.521383,-15.17285,-17.6034,-17.82662,-3.60067,-12.36879,-4.207086,-9.951735,-7.520482,-7.192881,-3.505289,-5.210671,-12.30874,0.222686,-15.32802,-3.517682,-15.44125,-11.75165,-18.17899,-5.417701,-14.34478,-16.05426,-30.44861,-8.413854,-7.073477,-9.369834,-10.70734,-11.61527,-3.374664,-1.412425,-2.813515,-12.7794,-11.83069,-12.01312,-11.26897
21071,139.5,42218,107,24.1,97.9,1.4,0.7,0.1,0.3,45,82.6,31.3,40.2,32.4,11.3,7653,87.6,56.8,1124,2811,2361,0,15,1,421,1,1,1,1,0.4967634,-16.9609,-3.966359,-1.397658,-6.175313,-7.582271,16.8368,13.06559,5.565682,6.723298,6.656585,8.588651,-4.949005,-0.7852625,-13.4591,-9.884892,-18.64482,-17.64279,-11.79632,-10.5941,-12.50615,-3.97813,-19.75224,-5.662434,-16.25172,-18.15121,-13.69694,-10.81757,-10.75628,-0.2166642,-16.92714,-10.11468,-8.065984,-12.54886,-9.279943,-2.618184,-13.33078,-9.613892,-6.702927,-8.276667,-12.29827,-7.990897,-13.88799,-15.72076,-14.95245,-15.90153,-7.404463,-7.408211,-5.120928,-5.270755,-10.7025,-6.498279,-14.4934,-16.76788,-16.99092,-2.789916,-11.85357,-4.287754,-10.96905,-7.51481,-7.191283,-2.853382,-4.574484,-11.09777,0.223972,-12.26453,-2.655624,-14.58761,-10.80146,-16.78462,-4.913289,-13.63283,-13.96233,-20.59269,-8.285898,-5.780974,-8.73968,-9.646779,-11.71526,-2.923749,-0.3308143,-2.984218,-11.99771,-11.07001,-9.075109,-10.36033
21159,132.7,12215,53,26.7,99.5,0.1,0.7,0,0.1,-1111.1,90.2,-1111.1,-1111.1,31.9,7.5,2427,40.9,16.4,312,782,680,0,0,0,-2222,1,1,1,1,0.4967295,-14.27527,-4.260397,-1.352157,-6.219002,-7.561668,15.40997,13.02984,5.869824,6.809288,6.696965,8.656179,-5.941608,-1.465338,-13.47118,-10.90696,-16.53019,-17.30488,-12.75921,-11.06106,-13.30897,-4.090294,-12.86386,-5.642198,-15.30533,-17.89371,-12.24972,-10.73943,-10.93092,-0.2166856,-14.81253,-10.09697,-8.538624,-13.63825,-7.291882,-2.65332,-13.74707,-9.620462,-6.634821,-8.891565,-12.86956,-8.568813,-14.08437,-14.48346,-15.43113,-16.16871,-7.929063,-7.324164,-5.894202,-5.36149,-11.92406,-5.517237,-14.80557,-17.23967,-17.46286,-3.273797,-11.82746,-2.213154,-12.63176,-7.511198,-7.184816,-3.291882,-4.051448,-11.84887,0.2230075,-11.8339,-3.351458,-15.07171,-11.35328,-17.80946,-5.182886,-13.92767,-13.86882,-14.61425,-8.354186,-6.561764,-9.044377,-9.263516,-10.74329,-3.280752,-1.10583,-3.039871,-11.27255,-11.38587,-10.0437,-10.8758
21023,131.4,8670,43,11.7,98.9,0.6,0.5,0.3,0.1,39.8,77.6,25.1,28.2,40.4,8.1,1013,34.6,34.6,286,570,484,1,15,2,-2222,1,1,1,1,0.4967239,-12.7138,-4.341763,-0.9394171,-6.162169,-7.487155,10.56743,10.73822,5.481474,6.422987,6.594747,8.571335,-5.88565,-1.465338,-13.60919,-8.899489,-14.67633,-16.77302,-12.48085,-10.25798,-12.71874,-4.274125,-15.37895,-5.231472,-12.21994,-18.48789,-10.46695,-10.11388,-9.64871,-0.2167639,-12.95868,-9.781522,-8.565137,-11.49079,-10.33354,-2.639771,-13.83177,-9.283196,-6.614079,-8.900594,-5.5299,-8.582019,-12.33401,-12.73838,-12.99811,-16.51961,-7.643666,-7.166836,-6.118348,-4.619256,-10.51504,-5.419183,-15.02226,-17.70138,-17.92456,-3.204713,-11.67165,-2.775585,-10.91558,-7.439666,-7.171439,-2.892993,-4.373101,-8.979899,0.2234444,-12.4429,-3.65848,-15.53514,-11.38588,-17.82952,-5.420345,-14.17347,-12.96541,-16.28738,-8.393121,-6.921389,-8.866754,-9.121864,-9.344816,-3.239284,-1.027494,-2.288793,-7.968218,-11.15217,-8.381358,-10.79969
21193,129,29452,86,23.3,97.4,1.6,0.6,0,0.7,41,79.7,32.6,34.6,33.8,10.7,5146,129,37.3,855,1931,1595,0,9,0,1555,1,1,1,1,0.4967657,-15.51965,-4.088696,-1.502164,-6.129098,-6.529572,22.10627,13.69206,5.655344,6.661132,6.58339,8.775163,-5.030197,-0.6911492,-13.46766,-9.542897,-31.70556,-17.64953,-11.91917,-10.537,-12.62348,-4.027581,-16.58174,-5.681793,-15.62307,-18.48789,-14.28138,-10.84411,-10.87055,-0.2166641,-27.31621,-10.16111,-8.027886,-13.81482,-10.00817,-2.434937,-13.23231,-7.652959,-6.928493,-8.459693,-12.35829,-7.938111,-13.85777,-16.13121,-14.90225,-15.75315,-7.423079,-7.505394,-5.173826,-4.762172,-12.77076,-6.434568,-14.63547,-16.71931,-16.94245,-3.076024,-12.09048,-4.085135,-12.37648,-7.509664,-7.191608,-2.684285,-3.882677,-10.83974,0.2725175,-13.63381,-2.84634,-14.53641,-10.73456,-16.44447,-5.066312,-13.78507,-10.51732,-15.79367,-8.316549,-5.894909,-8.825211,-10.36355,-11.29132,-2.368678,-0.4715012,-2.841566,-12.06602,-11.0245,-11.20519,-10.36252
21095,126.6,31614,68,26.6,95.8,2.5,0.7,0.4,0.5,45.7,84.7,30,31,35.7,11,6586,50.6,19,854,2073,1755,0,5,0,2,1,1,1,1,0.4967896,-15.82918,-4.216208,-1.45569,-6.033692,-7.538912,17.20814,12.49814,5.798399,6.855562,6.641377,8.683929,-4.941365,-1.255266,-13.42364,-9.420063,-18.81428,-16.52957,-12.17316,-10.28305,-12.86464,-4.132329,-17.0038,-5.700979,-15.37878,-18.48789,-13.5852,-10.78221,-10.78745,-0.2165949,-17.09636,-10.09535,-7.772973,-14.9236,-9.846478,-2.639129,-12.9867,-9.47116,-6.961625,-8.702329,-12.5305,-8.03889,-13.94132,-15.56545,-14.6449,-15.53751,-7.55021,-7.588895,-5.110104,-5.208054,-13.83005,-5.903868,-14.888,-16.46318,-16.68614,-3.258049,-12.9835,-2.934278,-12.04902,-7.489342,-7.190252,-3.094507,-4.701007,-10.63041,0.223996,-14.00801,-3.285783,-14.2778,-10.46082,-16.04996,-5.018411,-14.14755,-14.66458,-30.44861,-8.369521,-5.860142,-8.773073,-10.96965,-10.87959,-2.696876,-0.5179462,-2.914059,-12.14965,-10.99055,-11.61626,-10.11004
21065,125.3,15089,59,21.1,99.2,0.2,0.7,0.2,0.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,13.6,2367,19.9,19.9,456,995,816,0,14,1,-2222,1,1,1,1,0.4967122,-10.75767,-4.682112,-1.495536,-6.249487,-7.32363,13.64045,11.69224,4.811574,6.485173,6.322489,8.500354,-5.91132,-0.6911492,-13.56519,-9.773043,-17.21021,-18.52665,-12.89272,-11.15918,-10.84568,-4.281919,-10.16425,-5.41826,-13.69003,-18.48789,-12.90128,-10.78815,-11.57301,-0.216769,-15.48283,-10.16633,-7.032768,-11.27619,-10.36401,-2.640122,-14.19198,-9.48003,-6.794304,-8.740872,-12.66103,-8.672789,-11.55954,-15.11886,-12.31355,-16.28372,-7.844475,-7.411962,-5.750606,-5.120967,-9.21983,-5.92922,-15.32455,-17.58397,-17.80698,-3.213933,-11.58472,-3.913937,-11.0934,-7.509144,-7.190931,-3.268317,-4.675332,-8.398624,0.2230061,-14.32543,-3.113351,-15.41239,-11.67836,-17.83668,-5.557525,-14.47503,-17.23896,-22.07151,-8.43616,-6.640861,-9.276279,-10.37686,-11.28868,-3.317341,-1.352542,-2.463486,-10.1168,-11.56958,-8.232776,-10.75657
